Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks
tantangan,,5,5,5,0.331316,0.351865,128.780092,5,0,0.007409,0.007409,0.001478
musik,,7,7,5,0.370872,0.397793,469.444562,3,0,0.039364,0.039364,0.001634
bangun ruang sisi lengkung,,5,5,5,0.330068,0.354795,6.60041,0,0,0.01854,0.01854,0.001124
perbandingan,,7,7,4,0.377912,0.403158,40.701192,3,0,0.028711,0.028711,0.001514
fenomenologi,,6,6,5,0.316245,0.333942,502.620038,5,0,0.004758,0.004758,0.00204
pertumbuhan ekonomi,,2,2,6,0.267073,0.279033,2.852381,5,0,0.001066,0.001066,0.000896
kata benda,,4,4,5,0.342455,0.361834,71.26585,5,0,0.010442,0.010442,0.001077
online,,5,5,5,0.384211,0.409209,1.479165,3,0,0.039638,0.039638,0.001126
self esteem,,5,5,6,0.241855,0.25723,126.248932,2,0,0.000353,0.000353,0.002021
sumber energi,,11,11,4,0.400366,0.430365,43.624469,0,0,0.065833,0.065834,0.002052
bilangan,,7,7,4,0.377586,0.403919,15.717028,3,0,0.035299,0.035299,0.001477
bilangan bulat,,4,4,5,0.329571,0.352702,9.184732,0,0,0.015119,0.015119,0.001
body image,,2,2,5,0.257951,0.268721,15.129461,6,0,0.000411,0.000411,0.000958
sejarah,,7,7,4,0.394595,0.420091,105.960252,3,0,0.040789,0.040789,0.001497
broken home,,3,3,5,0.282398,0.298554,23.188173,6,0,0.001263,0.001263,0.001086
perjuangan,,3,3,5,0.277391,0.292428,6.590071,6,0,0.000893,0.000893,0.001085
ekaristi,,3,3,5,0.308017,0.322907,4.870238,2,0,0.004254,0.004254,0.000917
nasionalisme,,6,6,5,0.356968,0.38105,113.362259,3,0,0.023689,0.023689,0.001518
sejarah lokal,,5,5,5,0.364696,0.388965,22.030649,3,0,0.025554,0.025554,0.001256
tpack,,3,3,5,0.282946,0.296271,32.718387,2,0,0.002625,0.002625,0.001032
interaktif,,4,4,5,0.366221,0.389041,2.46273,3,0,0.022158,0.022158,0.000997
pemikiran,,4,4,5,0.313754,0.331925,73.033292,6,0,0.004326,0.004326,0.00118
pendidikan pancasila,,5,5,5,0.343529,0.369026,26.048713,0,0,0.022179,0.022179,0.001166
buku ajar,,2,2,6,0.285342,0.298744,6.305303,1,0,0.001775,0.001775,0.000795
storytelling,,6,6,5,0.359311,0.382382,70.098689,5,0,0.019788,0.019788,0.001403
religius,,4,4,5,0.326622,0.34296,18.411422,5,0,0.007388,0.007388,0.001094
swaajar,,4,4,5,0.356098,0.378387,12.068246,3,0,0.022773,0.022773,0.001031
devosi,,4,4,5,0.302486,0.318303,2.358575,2,0,0.004066,0.004066,0.001155
emosi,,7,7,4,0.341121,0.361682,190.749739,5,0,0.009574,0.009574,0.001793
kompetensi kepribadian,,4,4,5,0.303956,0.320776,85.333052,5,0,0.002853,0.002853,0.001279
praktik pengajaran,,3,3,5,0.273408,0.287405,5.920793,5,0,0.001342,0.001342,0.001016
teks tanggapan,,10,10,4,0.410112,0.437785,35.570239,3,0,0.063907,0.063907,0.001917
cerita pendek,,4,4,5,0.371501,0.394863,378.738604,6,0,0.019585,0.019585,0.001262
unsur intrinsik,,2,2,6,0.273921,0.28516,3.611952,6,0,0.000955,0.000955,0.000945
cerita rakyat,,4,4,5,0.304378,0.319673,145.00311,6,0,0.0031,0.0031,0.001575
nilai sosial,,2,2,5,0.268877,0.282002,13.554178,6,0,0.000621,0.000621,0.000898
harga,,5,5,5,0.329819,0.356621,196.08084,0,0,0.01509,0.015091,0.001419
keputusan pembelian,,2,2,5,0.278272,0.290297,11.485751,5,0,0.001115,0.001115,0.000823
program linear,,4,4,5,0.336147,0.356012,23.834726,0,0,0.014791,0.014791,0.001027
pascapandemi,,9,9,4,0.364393,0.38984,198.106199,5,0,0.022196,0.022195,0.002148
teknologi,,5,5,4,0.351525,0.371385,43.940569,5,0,0.011411,0.011411,0.001292
